숭실대입구,남성,2000,3
남성,총신대입구(이수),1000,2
내방,고속터미널,2200,3
고속터미널,반포,900,2
반포,논현,900,2
논현,학동,1000,2
학동,강남구청,900,2
강남구청,청담,1100,2
청담,뚝섬유원지,2000,3
뚝섬유원지,건대입구,1000,2
건대입구,어린이대공원,800,2
어린이대공원,군자,1100,2
군자,중곡,1100,2
중곡,용마산,900,2
용마산,사가정,800,2
사가정,면목,900,2
면목,상봉,800,2
상봉,중화,1000,2
중화,먹골,900,2
먹골,태릉입구,900,2
태릉입구,공릉,800,2
공릉,하계,1300,2
하계,중계,1000,2
중계,노원,1100,2
노원,마들,1200,2
마들,수락산,1400,2
수락산,도봉산,1600,2
도봉산,장암,1400,2
모란,수진,1000,3
수진,신흥,900,2
신흥,단대오거리,800,2
단대오거리,남한산성입구,800,2
남한산성입구,산성,1300,3
산성,복정,2700,3
복정,장지,900,2
장지,문정,900,2
문정,가락시장,900,2
가락시장,송파,800,2
송파,석촌,900,2
석촌,잠실,1200,2
잠실,몽촌토성,800,2
몽촌토성,강동구청,1600,2
강동구청,천호,900,2
천호,암사,1300,2
종합운동장,봉은사,1600,3
봉은사,삼성중앙,660,2
삼성중앙,선정릉,896,2
선정릉,언주,895,2
언주,신논현,793,2
신논현,사평,900,2
사평,고속터미널,1100,2
고속터미널,신반포,800,2
신반포,구반포,700,2
구반포,동작,1000,2
동작,흑석,1400,2
흑석,노들,1100,2
노들,노량진,1100,2
노량진,샛강,1200,2
샛강,여의도,800,2
여의도,국회의사당,900,2
국회의사당,당산,1500,2
당산,선유도,1000,2
선유도,신목동,1200,2
신목동,염창,900,2
염창,등촌,900,2
등촌,증미,1000,2
증미,가양,700,2
가양,양천향교,1300,2
양천향교,마곡나루,1400,2
마곡나루,신방화,900,2
신방화,공항시장,800,2
공항시장,김포공항,800,2
김포공항,개화,3600,6
